_id,Open,High,Low,Close,Adj Close,Volume
643a659588d52bfb1abb1858,23.09000015258789,23.760000228881836,22.729999542236328,22.899999618530273,22.899999618530273,0
643a659588d52bfb1abb1859,22.93000030517578,23.270000457763672,21.940000534057617,22.010000228881836,22.010000228881836,0
643a659588d52bfb1abb185a,22.200000762939453,22.920000076293945,21.969999313354492,22.459999084472656,22.459999084472656,0
643a659588d52bfb1abb185b,22.690000534057617,22.899999618530273,21,21.1299991607666,21.1299991607666,0
643a659588d52bfb1abb185c,21.75,21.979999542236328,21.270000457763672,21.969999313354492,21.969999313354492,0
643a659588d52bfb1abb185d,22.219999313354492,22.459999084472656,20.579999923706055,20.579999923706055,20.579999923706055,0
643a659588d52bfb1abb185e,20.799999237060547,21.25,20.6200008392334,21.09000015258789,21.09000015258789,0
643a659588d52bfb1abb185f,21.559999465942383,21.799999237060547,18.829999923706055,18.829999923706055,18.829999923706055,0
643a659588d52bfb1abb1860,19,19.40999984741211,18.010000228881836,18.350000381469727,18.350000381469727,0
643a659588d52bfb1abb1861,19.889999389648438,20.219999313354492,19.209999084472656,19.360000610351562,19.360000610351562,0
643a659588d52bfb1abb1862,19.280000686645508,20.579999923706055,18.709999084472656,20.34000015258789,20.34000015258789,0
643a659588d52bfb1abb1863,20.43000030517578,21.709999084472656,20.170000076293945,20.520000457763672,20.520000457763672,0
643a659588d52bfb1abb1864,20.280000686645508,20.700000762939453,19.40999984741211,19.850000381469727,19.850000381469727,0
643a659588d52bfb1abb1865,20.209999084472656,20.329999923706055,19.549999237060547,19.809999465942383,19.809999465942383,0
643a659588d52bfb1abb1866,19.889999389648438,20.469999313354492,18.90999984741211,19.200000762939453,19.200000762939453,0
643a659588d52bfb1abb1867,19.559999465942383,20.899999618530273,18.989999771118164,19.079999923706055,19.079999923706055,0
643a659588d52bfb1abb1868,19.049999237060547,19.479999542236328,18.670000076293945,18.729999542236328,18.729999542236328,0
643a659588d52bfb1abb1869,18.899999618530273,19,17.969999313354492,18.510000228881836,18.510000228881836,0
643a659588d52bfb1abb186a,19.760000228881836,20.25,19.540000915527344,19.940000534057617,19.940000534057617,0
643a659588d52bfb1abb186b,20.1200008392334,20.700000762939453,19.1299991607666,19.399999618530273,19.399999618530273,0
643a659588d52bfb1abb186c,19.6200008392334,20.040000915527344,17.700000762939453,17.8700008392334,17.8700008392334,0
643a659588d52bfb1abb186d,17.739999771118164,19.25,17.059999465942383,18.729999542236328,18.729999542236328,0
643a659588d52bfb1abb186e,18.56999969482422,19.299999237060547,17.93000030517578,18.329999923706055,18.329999923706055,0
643a659588d52bfb1abb186f,19.229999542236328,19.809999465942383,19.209999084472656,19.43000030517578,19.43000030517578,0
643a659588d52bfb1abb1870,19.540000915527344,19.989999771118164,18.43000030517578,18.65999984741211,18.65999984741211,0
643a659588d52bfb1abb1871,18.8799991607666,20.1200008392334,18.549999237060547,19.6299991607666,19.6299991607666,0
643a659588d52bfb1abb1872,19.239999771118164,21.079999923706055,19.020000457763672,20.709999084472656,20.709999084472656,0
643a659588d52bfb1abb1873,20.739999771118164,21.940000534057617,20.440000534057617,20.530000686645508,20.530000686645508,0
643a659588d52bfb1abb1874,21.65999984741211,21.690000534057617,20.329999923706055,20.34000015258789,20.34000015258789,0
643a659588d52bfb1abb1875,20.719999313354492,20.75,18.479999542236328,18.90999984741211,18.90999984741211,0
643a659588d52bfb1abb1876,19.3700008392334,19.40999984741211,18.110000610351562,18.229999542236328,18.229999542236328,0
643a659588d52bfb1abb1877,18.260000228881836,20.270000457763672,18.229999542236328,20.170000076293945,20.170000076293945,0
643a659588d52bfb1abb1878,20.940000534057617,21.299999237060547,19.81999969482422,20.020000457763672,20.020000457763672,0
643a659588d52bfb1abb1879,21.799999237060547,23.34000015258789,21.799999237060547,22.8700008392334,22.8700008392334,0
643a659588d52bfb1abb187a,23.030000686645508,23.6299991607666,22.020000457763672,22.290000915527344,22.290000915527344,0
643a659588d52bfb1abb187b,21.959999084472656,22.43000030517578,20.889999389648438,21.139999389648438,21.139999389648438,0
643a659588d52bfb1abb187c,21.350000381469727,22.899999618530273,21.31999969482422,21.670000076293945,21.670000076293945,0
643a659588d52bfb1abb187d,21.989999771118164,22.020000457763672,20.68000030517578,20.950000762939453,20.950000762939453,0
643a659588d52bfb1abb187e,21.299999237060547,21.3700008392334,20.100000381469727,20.700000762939453,20.700000762939453,0
643a659588d52bfb1abb187f,20.389999389648438,21.31999969482422,20.219999313354492,20.579999923706055,20.579999923706055,0
643a659588d52bfb1abb1880,21.40999984741211,21.420000076293945,19.549999237060547,19.59000015258789,19.59000015258789,0
643a659588d52bfb1abb1881,19.760000228881836,19.760000228881836,18.15999984741211,18.489999771118164,18.489999771118164,0
643a659588d52bfb1abb1882,19.049999237060547,19.190000534057617,18.489999771118164,18.610000610351562,18.610000610351562,0
643a659588d52bfb1abb1883,18.639999389648438,19.739999771118164,18.510000228881836,19.59000015258789,19.59000015258789,0
643a659588d52bfb1abb1884,19.709999084472656,20.010000228881836,19,19.110000610351562,19.110000610351562,0
643a659588d52bfb1abb1885,19.329999923706055,23.139999389648438,18.8799991607666,22.610000610351562,22.610000610351562,0
643a659588d52bfb1abb1886,23.34000015258789,28.969999313354492,21.790000915527344,24.799999237060547,24.799999237060547,0
643a659588d52bfb1abb1887,24.049999237060547,30.809999465942383,23.850000381469727,26.520000457763672,26.520000457763672,0
643a659588d52bfb1abb1888,26.850000381469727,27.239999771118164,22.270000457763672,23.729999542236328,23.729999542236328,0
643a659588d52bfb1abb1889,23.209999084472656,29.90999984741211,23.190000534057617,26.139999389648438,26.139999389648438,0
643a659588d52bfb1abb188a,26.190000534057617,27.489999771118164,22.969999313354492,22.989999771118164,22.989999771118164,0
643a659588d52bfb1abb188b,22.920000076293945,26.139999389648438,22.579999923706055,25.510000228881836,25.510000228881836,0
643a659588d52bfb1abb188c,27.770000457763672,28.90999984741211,24,24.149999618530273,24.149999618530273,0
643a659588d52bfb1abb188d,24.15999984741211,24.15999984741211,21.290000915527344,21.3799991607666,21.3799991607666,0
643a659588d52bfb1abb188e,21.799999237060547,22.3799991607666,19.940000534057617,22.260000228881836,22.260000228881836,0
643a659588d52bfb1abb188f,21.540000915527344,24.90999984741211,20.15999984741211,22.610000610351562,22.610000610351562,0
643a659588d52bfb1abb1890,22.110000610351562,25.209999084472656,21.600000381469727,21.739999771118164,21.739999771118164,0
643a659588d52bfb1abb1891,22.049999237060547,22.93000030517578,20.56999969482422,20.600000381469727,20.600000381469727,0
643a659588d52bfb1abb1892,20.530000686645508,21.399999618530273,19.90999984741211,19.969999313354492,19.969999313354492,0
643a659588d52bfb1abb1893,19.389999389648438,19.450000762939453,19.09000015258789,19.1200008392334,19.1200008392334,0
643a659588d52bfb1abb1894,19.1200008392334,20.079999923706055,18.850000381469727,19.020000457763672,19.020000457763672,0
